municipality_1,municipality_2
אבו גוש,מטה יהודה
אבו גוש,קרית יערים
אבו סנאן,ירכא
אבו סנאן,כפר יאסיף
אבו סנאן,מטה אשר
אבן יהודה,חוף השרון
אבן יהודה,לב השרון
אבן יהודה,קדימה - צורן
אבן יהודה,תל מונד
אום אל-פחם,"בסמ""ה"
אום אל-פחם,מגידו
אום אל-פחם,מנשה
אום אל-פחם,מעלה עירון
אום אל-פחם,ערערה
אופקים,מרחבים
אור יהודה,דרום השרון
אור יהודה,יהוד -מונסון
אור יהודה,סביון
אור יהודה,עמק לוד
אור יהודה,קרית אונו
אור יהודה,רמת גן
אור עקיבא,בנימינה - גבעת עדה
אור עקיבא,חוף הכרמל
אזור,חולון
אזור,עמק לוד
אילת,חבל אילות
אכסאל,נצרת עילית
אכסאל,עמק יזרעאל
אל קסום,בני שמעון
אל קסום,חורה
אל קסום,עומר
אל קסום,תל שבע
אל-בטוף,הגליל התחתון
אל-בטוף,מגדל
אל-בטוף,משהד
אל-בטוף,נצרת עילית
אל-בטוף,עמק יזרעאל
אלונה,בנימינה - גבעת עדה
אלונה,זכרון יעקב
אלונה,חוף הכרמל
אלונה,מגידו
אלונה,מנשה
אליכין,חדרה
אליכין,עמק חפר
אלעד,דרום השרון
אלעד,חבל מודיעין
אעבלין,טמרה
אעבלין,מטה אשר
אעבלין,משגב
אעבלין,שפרעם
אשדוד,באר טוביה
אשדוד,גן יבנה
אשדוד,חבל יבנה
אשכול,מרחבים
אשכול,רמת נגב
אשכול,שדות נגב
אשקלון,חוף אשקלון
באקה אל גרבייה,ג'ת
באקה אל גרבייה,מנשה
באר טוביה,"בני עי""ש"
באר טוביה,גדרה
באר טוביה,גדרות
באר טוביה,גן יבנה
באר טוביה,חבל יבנה
באר טוביה,חוף אשקלון
באר טוביה,יואב
באר טוביה,נחל שורק
באר טוביה,קרית מלאכי
באר טוביה,שפיר
באר יעקב,גזר
באר יעקב,נס ציונה
באר יעקב,עמק לוד
באר יעקב,ראשון לציון
באר יעקב,רמלה
באר שבע,בני שמעון
באר שבע,מרחבים
באר שבע,עומר
באר שבע,שגב שלום
באר שבע,תל שבע
בוסתאן אל-מרג',הגלבוע
בוסתאן אל-מרג',עמק יזרעאל
בוסתאן אל-מרג',עפולה
בועיינה-נוג'ידאת,הגליל התחתון
בוקעאתא,גולן
בוקעאתא,מסעדה
ביר אל-מכסור,כפר מנדא
ביר אל-מכסור,משגב
ביר אל-מכסור,עמק יזרעאל
ביר אל-מכסור,שפרעם
בית דגן,עמק לוד
בית דגן,ראשון לציון
בית שאן,עמק המעיינות
בית שמש,מטה יהודה
בני ברק,גבעת שמואל
בני ברק,פתח תקווה
בני ברק,רמת גן
בני ברק,תל אביב -יפו
"בני עי""ש",גדרה
בני שמעון,חורה
בני שמעון,להבים
בני שמעון,לכיש
בני שמעון,לקיה
בני שמעון,מיתר
בני שמעון,מרחבים
בני שמעון,עומר
בני שמעון,רהט
בני שמעון,שגב שלום
בני שמעון,שער הנגב
בני שמעון,תל שבע
בנימינה - גבעת עדה,זכרון יעקב
בנימינה - גבעת עדה,חוף הכרמל
בנימינה - גבעת עדה,מנשה
בנימינה - גבעת עדה,פרדס חנה - כרכור
"בסמ""ה",חריש
"בסמ""ה",מגידו
"בסמ""ה",מנשה
"בסמ""ה",ערערה
בסמת טבעון,זבולון
בסמת טבעון,עמק יזרעאל
בסמת טבעון,קרית טבעון
בענה,דיר אל-אסד
בענה,כרמיאל
בענה,מג'ד אל-כרום
בענה,נחף
ברנר,גדרה
ברנר,גדרות
ברנר,גזר
ברנר,גן רוה
ברנר,חבל יבנה
ברנר,יבנה
ברנר,מזכרת בתיה
ברנר,נחל שורק
ברנר,קרית עקרון
ברנר,רחובות
בת ים,חולון
בת ים,ראשון לציון
בת ים,תל אביב -יפו
ג'דיידה-מכר,ג'וליס
ג'דיידה-מכר,כפר יאסיף
ג'דיידה-מכר,מטה אשר
ג'דיידה-מכר,משגב
ג'וליס,ירכא
ג'וליס,כפר יאסיף
ג'וליס,משגב
ג'לג'וליה,דרום השרון
ג'סר א-זרקא,חוף הכרמל
ג'ת,מנשה
גבעת שמואל,פתח תקווה
גבעת שמואל,קרית אונו
גבעת שמואל,רמת גן
גבעתיים,רמת גן
גבעתיים,תל אביב -יפו
גדרה,גדרות
גדרה,נחל שורק
גדרות,גן יבנה
גדרות,חבל יבנה
גולן,הגליל העליון
גולן,מבואות החרמון
גולן,מג'דל שמס
גולן,מסעדה
גולן,ע'ג'ר
גולן,עין קיניה
גולן,עמק הירדן
גולן,קצרין
גוש חלב (ג'יש),הגליל העליון
גוש חלב (ג'יש),מרום הגליל
גזר,חבל מודיעין
גזר,מודיעין-מכבים-רעות
גזר,מזכרת בתיה
גזר,מטה יהודה
גזר,נחל שורק
גזר,נס ציונה
גזר,קרית עקרון
גזר,רחובות
גזר,רמלה
גן יבנה,חבל יבנה
גן רוה,חבל יבנה
גן רוה,יבנה
גן רוה,נס ציונה
גן רוה,ראשון לציון
גן רוה,רחובות
גני תקווה,דרום השרון
גני תקווה,סביון
גני תקווה,פתח תקווה
גני תקווה,קרית אונו
דאלית אל-כרמל,עוספייא
דבוריה,נצרת עילית
דבוריה,עמק יזרעאל
דבוריה,שבלי - אום אל-ג'נם
דימונה,הערבה התיכונה
דימונה,נווה מדבר
דימונה,רמת נגב
דימונה,תמר
דיר אל-אסד,כסרא - סמיע
דיר אל-אסד,מג'ד אל-כרום
דיר אל-אסד,מעלה יוסף
דיר אל-אסד,משגב
דיר אל-אסד,נחף
דיר חנא,מג'אר
דיר חנא,משגב
דיר חנא,עראבה
דרום השרון,הוד השרון
דרום השרון,הרצליה
דרום השרון,חבל מודיעין
דרום השרון,חוף השרון
דרום השרון,טייבה
דרום השרון,טירה
דרום השרון,יהוד -מונסון
דרום השרון,כוכב יאיר
דרום השרון,כפר ברא
דרום השרון,כפר סבא
דרום השרון,כפר קאסם
דרום השרון,לב השרון
דרום השרון,סביון
דרום השרון,פתח תקווה
דרום השרון,ראש העין
דרום השרון,רעננה
דרום השרון,תל מונד
הגלבוע,מגידו
הגלבוע,עמק הירדן
הגלבוע,עמק המעיינות
הגלבוע,עמק יזרעאל
הגלבוע,עפולה
הגליל העליון,חצור הגלילית
הגליל העליון,טובא-זנגריה
הגליל העליון,יסוד המעלה
הגליל העליון,מבואות החרמון
הגליל העליון,מטולה
הגליל העליון,מעלה יוסף
הגליל העליון,מרום הגליל
הגליל העליון,עמק הירדן
הגליל העליון,צפת
הגליל העליון,קרית שמונה
הגליל העליון,ראש פינה
הגליל התחתון,טבריה
הגליל התחתון,טורעאן
הגליל התחתון,יבנאל
הגליל התחתון,כפר כמא
הגליל התחתון,כפר כנא
הגליל התחתון,כפר תבור
הגליל התחתון,מג'אר
הגליל התחתון,מגדל
הגליל התחתון,משהד
הגליל התחתון,נצרת עילית
הגליל התחתון,עילבון
הגליל התחתון,עמק הירדן
הגליל התחתון,עמק יזרעאל
הגליל התחתון,שבלי - אום אל-ג'נם
הוד השרון,הרצליה
הוד השרון,כפר סבא
הוד השרון,פתח תקווה
הוד השרון,רמת השרון
הערבה התיכונה,חבל אילות
הערבה התיכונה,רמת נגב
הערבה התיכונה,תמר
הרצליה,חוף השרון
הרצליה,כפר שמריהו
הרצליה,רמת השרון
הרצליה,רעננה
הרצליה,תל אביב -יפו
זבולון,חיפה
זבולון,מטה אשר
זבולון,נשר
זבולון,עמק יזרעאל
זבולון,קרית אתא
זבולון,קרית ביאליק
זבולון,קרית טבעון
זבולון,רכסים
זבולון,שפרעם
זכרון יעקב,חוף הכרמל
זכרון יעקב,פוריידיס
זמר,מנשה
זמר,עמק חפר
זרזיר,עמק יזרעאל
חבל אילות,רמת נגב
חבל יבנה,יבנה
חבל מודיעין,יהוד -מונסון
חבל מודיעין,לוד
חבל מודיעין,מודיעין-מכבים-רעות
חבל מודיעין,עמק לוד
חבל מודיעין,פתח תקווה
חבל מודיעין,רמלה
חבל מודיעין,שהם
חדרה,חוף הכרמל
חדרה,מנשה
חדרה,עמק חפר
חדרה,פרדס חנה - כרכור
חולון,עמק לוד
חולון,ראשון לציון
חולון,תל אביב -יפו
חוף אשקלון,יואב
חוף אשקלון,לכיש
חוף אשקלון,שער הנגב
חוף אשקלון,שפיר
חוף הכרמל,טירת כרמל
חוף הכרמל,מגידו
חוף הכרמל,פוריידיס
חוף השרון,כפר שמריהו
חוף השרון,לב השרון
חוף השרון,נתניה
חוף השרון,רמת השרון
חוף השרון,רעננה
חוף השרון,תל מונד
חורה,מיתר
חורפיש,מעלה יוסף
חיפה,טירת כרמל
חיפה,נשר
חיפה,קרית אתא
חיפה,קרית ביאליק
חיפה,קרית ים
חיפה,קרית מוצקין
חצור הגלילית,מבואות החרמון
חצור הגלילית,מרום הגליל
חצור הגלילית,צפת
חצור הגלילית,ראש פינה
חריש,מנשה
טבריה,עמק הירדן
טובא-זנגריה,מבואות החרמון
טובא-זנגריה,ראש פינה
טורעאן,כפר כנא
טייבה,טירה
טייבה,לב השרון
טייבה,קלנסווה
טירה,לב השרון
טמרה,כאבול
טמרה,מטה אשר
טמרה,משגב
יאנוח - ג'ת,ירכא
יאנוח - ג'ת,כסרא - סמיע
יאנוח - ג'ת,כפר ורדים
יאנוח - ג'ת,מגדל תפן
יאנוח - ג'ת,מטה אשר
יאנוח - ג'ת,מעלה יוסף
יבנאל,עמק הירדן
יבנאל,עמק המעיינות
יהוד -מונסון,סביון
יואב,לכיש
יואב,מטה יהודה
יואב,נחל שורק
יואב,קרית גת
יואב,שפיר
יסוד המעלה,מבואות החרמון
יפיע,מגדל העמק
יפיע,נצרת
יפיע,עמק יזרעאל
יקנעם עילית,מגידו
ירוחם,רמת נגב
ירושלים,מבשרת ציון
ירושלים,מטה יהודה
ירכא,כפר יאסיף
ירכא,מטה אשר
ירכא,מעלה יוסף
ירכא,משגב
כאבול,מטה אשר
כאבול,משגב
כאבול,שעב
כאוכב אבו אל-היג'א,משגב
כסרא - סמיע,כפר ורדים
כסרא - סמיע,מגדל תפן
כסרא - סמיע,מעלה יוסף
כסרא - סמיע,משגב
כסרא - סמיע,פקיעין (בוקייעה)
כעביה - טבאש - חג'אג'רה,עמק יזרעאל
כפר ברא,כפר קאסם
כפר ורדים,מטה אשר
כפר ורדים,מעלה יוסף
כפר ורדים,מעלות-תרשיחא
כפר יונה,לב השרון
כפר יונה,עמק חפר
כפר יונה,פרדסיה
כפר כמא,כפר תבור
כפר כנא,משהד
כפר כנא,נצרת עילית
כפר מנדא,משגב
כפר מנדא,עמק יזרעאל
כפר סבא,רעננה
כפר קאסם,ראש העין
כפר קרע,מנשה
כפר קרע,ערערה
כפר שמריהו,רעננה
כפר תבור,עמק יזרעאל
כפר תבור,שבלי - אום אל-ג'נם
כרמיאל,מג'ד אל-כרום
כרמיאל,מרום הגליל
כרמיאל,משגב
כרמיאל,נחף
כרמיאל,סאג'ור
כרמיאל,ראמה
לב השרון,נתניה
לב השרון,עמק חפר
לב השרון,פרדסיה
לב השרון,קדימה - צורן
לב השרון,קלנסווה
לב השרון,תל מונד
לוד,עמק לוד
לוד,רמלה
לכיש,מטה יהודה
לכיש,קרית גת
לכיש,שער הנגב
לכיש,שפיר
מבואות החרמון,מטולה
מבואות החרמון,מרום הגליל
מבואות החרמון,עמק הירדן
מבואות החרמון,צפת
מבואות החרמון,קרית שמונה
מבואות החרמון,ראש פינה
מבשרת ציון,מטה יהודה
מג'אר,מרום הגליל
מג'אר,משגב
מג'אר,עילבון
מג'אר,עמק הירדן
מג'ד אל-כרום,מטה אשר
מג'ד אל-כרום,משגב
מג'דל שמס,מסעדה
מגדל,מרום הגליל
מגדל,עמק הירדן
מגדל העמק,עמק יזרעאל
מגדל תפן,מעלה יוסף
מגידו,מנשה
מגידו,מעלה עירון
מגידו,עמק יזרעאל
מגידו,עפולה
מזכרת בתיה,נחל שורק
מזרעה,מטה אשר
מזרעה,נהריה
מטה אשר,מעלה יוסף
מטה אשר,משגב
מטה אשר,נהריה
מטה אשר,עכו
מטה אשר,קרית אתא
מטה אשר,קרית ביאליק
מטה אשר,קרית מוצקין
מטה אשר,שלומי
מטה אשר,שעב
מטה אשר,שפרעם
מטה יהודה,נחל שורק
מטה יהודה,קרית יערים
מנשה,עמק חפר
מנשה,ערערה
מנשה,פרדס חנה - כרכור
מסעדה,עין קיניה
מעיליא,מעלה יוסף
מעיליא,מעלות-תרשיחא
מעלה יוסף,מעלות-תרשיחא
מעלה יוסף,משגב
מעלה יוסף,נהריה
מעלה יוסף,פסוטה
מעלה יוסף,פקיעין (בוקייעה)
מצפה רמון,רמת נגב
מרום הגליל,משגב
מרום הגליל,נחף
מרום הגליל,סאג'ור
מרום הגליל,עמק הירדן
מרום הגליל,צפת
מרום הגליל,ראמה
מרחבים,נאות חובב
מרחבים,רמת נגב
מרחבים,שדות נגב
מרחבים,שער הנגב
משגב,נחף
משגב,סח'נין
משגב,עילבון
משגב,עראבה
משגב,פקיעין (בוקייעה)
משגב,ראמה
משגב,שעב
משגב,שפרעם
משהד,נצרת עילית
משהד,עמק יזרעאל
משהד,ריינה
נאות חובב,רמת נגב
נווה מדבר,רמת נגב
נחף,סאג'ור
נס ציונה,ראשון לציון
נס ציונה,רחובות
נצרת,נצרת עילית
נצרת,עילוט
נצרת,עמק יזרעאל
נצרת,ריינה
נצרת עילית,עין מאהל
נצרת עילית,עמק יזרעאל
נצרת עילית,ריינה
נשר,קרית אתא
נתיבות,שדות נגב
נתניה,עמק חפר
סאג'ור,ראמה
סביון,קרית אונו
סח'נין,עראבה
עומר,תל שבע
עילוט,עמק יזרעאל
עמק הירדן,עמק המעיינות
עמק הירדן,עמק יזרעאל
עמק יזרעאל,עפולה
עמק יזרעאל,קרית טבעון
עמק יזרעאל,ריינה
עמק יזרעאל,רמת ישי
עמק יזרעאל,שבלי - אום אל-ג'נם
עמק יזרעאל,שפרעם
עמק לוד,ראשון לציון
עמק לוד,רמלה
ערד,תמר
פתח תקווה,קרית אונו
פתח תקווה,רמת השרון
פתח תקווה,תל אביב -יפו
צפת,ראש פינה
קרית אונו,רמת גן
קרית אתא,קרית ביאליק
קרית אתא,שפרעם
קרית ביאליק,קרית מוצקין
קרית גת,שפיר
קרית ים,קרית מוצקין
קרית עקרון,רחובות
רמת גן,תל אביב -יפו
רמת השרון,תל אביב -יפו
שדות נגב,שער הנגב
שדרות,שער הנגב
