repr,metric,algo,k_target,k_actual,elapsed_s,error,k,pop_min,pop_max,pop_ratio,pop_cv,avg_within_std,avg_dominant_margin,min_dominant_margin,wcss,silhouette,n_disconnected
bloc_shares,euclidean,simulated_annealing,3,3,19.99,,3,1250530.4,1386521.2000000002,1.1087464966865261,0.04393605938191503,3118.9721445473583,9.506824662214557,1.0466602644718677,239328973367.79773,-0.030080093978124917,0
bloc_shares,euclidean,simulated_annealing,5,5,16.78,,5,4380.8,1169734.4000000001,267.0138787436085,0.553989802663605,3449.0226248404015,11.140879224658963,0.43383272784763705,198588065513.74722,-0.5243795591090825,0
bloc_shares,euclidean,simulated_annealing,7,7,19.58,,7,4380.8,1235496.4,282.0252921840759,0.6433001042970174,2983.8695578319107,19.987533021611593,1.0376358640581813,197296272616.83145,-0.550759260304193,0
bloc_shares,euclidean,simulated_annealing,10,10,23.63,,10,4380.8,970388.0,221.50931336742147,0.7268203654574336,3101.084585969619,26.263634808467337,0.4568166332793595,180180313760.3282,-0.5705154873409195,0
bloc_shares,euclidean,simulated_annealing,15,15,24.53,,15,4380.8,525867.0,120.03903396639883,0.6177702128247876,2594.826732026261,23.898233427147435,4.027980609922167,147679134964.27997,-0.5751732126804564,0
bloc_shares,euclidean,simulated_annealing,20,20,29.25,,20,4380.8,840166.8,191.78387509130752,0.8884612739249397,2346.694842189531,27.121598388989163,0.20263269060777134,135802366101.5007,-0.6543436941460792,0
bloc_shares,euclidean,agglomerative_average,3,3,0.15,,3,258992.8,3399174.8000000007,13.12459188054649,1.1304578931642342,2139.7078302503655,11.212205895649959,3.9309155904866557,124525621507.31853,0.9046218082926424,0
bloc_shares,euclidean,agglomerative_average,5,5,0.2,,5,115329.6,3141850.200000001,27.242357556082748,1.5036237522156823,1908.6425516220695,12.323518952950689,2.4891200121660546,98090415302.0244,0.7836139440896838,0
bloc_shares,euclidean,agglomerative_average,7,7,0.15,,7,3874.2,3029197.400000001,781.8897836972797,1.8040502813483783,1826.3217732068663,16.857047586277275,2.4891200121660546,88966572378.52681,-0.5423807813471708,0
bloc_shares,euclidean,agglomerative_average,10,10,0.15,,10,3874.2,2624726.000000002,677.4885137576795,1.9125217031422925,2111.679461411154,19.160184743965072,2.4891200121660546,58896586664.77457,-0.6134022047033785,0
bloc_shares,euclidean,agglomerative_average,15,15,0.15,,15,3874.2,2143296.800000001,553.2230654070521,1.9550003956954853,1521.101025662793,20.496294374969047,2.3759538286207835,24572945981.531357,-0.6374510920250235,0
bloc_shares,euclidean,agglomerative_average,20,20,0.15,,20,3874.2,1889646.6000000006,487.7514325538177,2.011139118555376,478.8572285118209,20.469664726214745,2.4891200121660546,14076350766.171938,-0.5787417927771723,0
bloc_shares,euclidean,louvain,3,3,0.18,,3,536270.0,2477163.4,4.619246648143659,0.6427352101836,2407.4903334985097,23.25178525170169,8.982645053596006,227329252836.85266,-0.1793409137106157,0
bloc_shares,euclidean,louvain,5,5,0.24,,5,270188.60000000003,1527627.2,5.653929144308826,0.6843854541030363,2314.545646796624,28.271464928659707,3.831827075441929,223078936526.03644,-0.27502722271089314,0
bloc_shares,euclidean,louvain,7,7,0.26,,7,129376.80000000003,1270627.8,9.821141039197133,0.7135710440804222,2295.639267759483,26.75530145750385,8.381382969651685,216872156344.31927,-0.31478652022871034,0
bloc_shares,euclidean,louvain,10,10,0.21,,10,39602.6,1292761.4,32.64334664895739,1.098657090192067,1812.532303505419,22.437234222620255,3.995902760624034,213331557524.0761,-0.42457683638694305,0
bloc_shares,euclidean,louvain,15,15,0.33,,15,3089.0,1292761.4,418.50482356749757,1.4510841845362206,1491.2140803096795,25.19603330824734,2.8375790718261484,208766104037.54688,-0.5863584630551119,0
bloc_shares,euclidean,louvain,20,20,0.33,,20,3257.0,1320916.9999999998,405.5624808105618,1.8588499767585605,1062.8982143676385,41.64785999017935,0.8657239110632702,214227483711.4235,-0.6335634900143143,0
bloc_shares,euclidean,kmeans_baseline,3,3,0.04,,3,524903.0,2074867.4000000006,3.9528587186584963,0.48383982623181754,1250.208515218907,8.746558352471979,2.1235514330507854,29967586853.967365,0.8579989148692911,3
bloc_shares,euclidean,kmeans_baseline,5,5,0.04,,5,524903.0,988310.6000000001,1.882844258844015,0.21054995182983985,824.6809107599618,8.807890168768077,1.7907337729774895,8300490434.913137,0.6627334297721994,5
bloc_shares,euclidean,kmeans_baseline,7,7,0.05,,7,410132.6,682210.9999999998,1.6633913032029148,0.15671891979943287,510.66430733406145,12.055757394254806,2.1235514330507854,3293262845.169797,0.6554347311835531,7
bloc_shares,euclidean,kmeans_baseline,10,10,0.06,,10,219778.39999999997,584234.1999999998,2.6582876206214983,0.27281228963713927,375.16058431522185,11.571792883567957,2.1235514330507854,1480861018.7106352,0.5614700134847073,10
bloc_shares,euclidean,kmeans_baseline,15,15,0.06,,15,128552.80000000002,524903.0,4.083170494925042,0.42163813728366223,191.96918111257094,15.181781061092684,1.9788547322617944,477828031.1097914,0.5580168716486682,14
bloc_shares,euclidean,kmeans_baseline,20,20,0.06,,20,31728.399999999998,524903.0,16.543632833675826,0.5079028930576929,137.01968717247652,15.79307925243406,2.1235514330507854,222374182.4139592,0.5518880141941928,17
bloc_shares,cosine,simulated_annealing,3,3,18.92,,3,1250530.4,1386521.2000000002,1.1087464966865261,0.04393605938191503,3118.9721445473583,9.506824662214557,1.0466602644718677,239328973367.79773,-0.030080093978124917,0
bloc_shares,cosine,simulated_annealing,5,5,16.34,,5,4380.8,1169734.4000000001,267.0138787436085,0.553989802663605,3449.0226248404015,11.140879224658963,0.43383272784763705,198588065513.74722,-0.5243795591090825,0
bloc_shares,cosine,simulated_annealing,7,7,19.27,,7,4380.8,1235496.4,282.0252921840759,0.6433001042970174,2983.8695578319107,19.987533021611593,1.0376358640581813,197296272616.83145,-0.550759260304193,0
bloc_shares,cosine,simulated_annealing,10,10,23.45,,10,4380.8,970388.0,221.50931336742147,0.7268203654574336,3101.084585969619,26.263634808467337,0.4568166332793595,180180313760.3282,-0.5705154873409195,0
bloc_shares,cosine,simulated_annealing,15,15,24.59,,15,4380.8,525867.0,120.03903396639883,0.6177702128247876,2594.826732026261,23.898233427147435,4.027980609922167,147679134964.27997,-0.5751732126804564,0
bloc_shares,cosine,simulated_annealing,20,20,29.23,,20,4380.8,840166.8,191.78387509130752,0.8884612739249397,2346.694842189531,27.121598388989163,0.20263269060777134,135802366101.5007,-0.6543436941460792,0
bloc_shares,cosine,agglomerative_average,3,3,0.16,,3,25.6,3923677.200000001,153268.64062500003,1.4139970059051719,1508.1229122205639,6.21781552974181,3.3548387096774164,244788169749.3137,-0.4072899223859048,0
bloc_shares,cosine,agglomerative_average,5,5,0.15,,5,25.6,3923677.200000001,153268.64062500003,1.9997447819495457,3009.02740350457,12.073045298149484,3.3548387096774164,244788162441.05975,-0.4128928653116295,0
bloc_shares,cosine,agglomerative_average,7,7,0.15,,7,25.6,3910455.800000001,152752.17968750003,2.4395813073378316,3020.5644313619855,13.777376314349366,3.3548387096774164,244480544555.82962,-0.665533589607844,0
bloc_shares,cosine,agglomerative_average,10,10,0.15,,10,25.6,3908014.800000001,152656.82812500003,2.986369515741333,3035.7383333181806,16.77187043552151,2.4047463769622475,243630182874.52115,-0.6620541371799711,0
bloc_shares,cosine,agglomerative_average,15,15,0.15,,15,25.6,3898349.400000001,152279.27343750003,3.7153918284837424,1543.0081467927698,27.54575007224969,2.4047463769622475,241688795779.78558,-0.652170253545455,0
bloc_shares,cosine,agglomerative_average,20,20,0.16,,20,25.6,3889612.2000000007,151937.97656250003,4.318621377408692,1556.732759448937,32.60312923712274,2.4047463769622475,240284363239.70572,-0.6648852437818396,0
bloc_shares,cosine,louvain,3,3,0.15,,3,378988.9999999999,2702220.5999999996,7.1300765985292465,0.7674688810738346,2089.3959178086316,36.127775237880876,10.86219521975297,223034243064.8876,-0.2229826267053984,0
bloc_shares,cosine,louvain,5,5,0.25,,5,279715.2,1538939.4000000001,5.501808267838144,0.6848022434581105,2314.2374970914925,27.62068298438475,0.7807407799254023,222419929435.81818,-0.27320336238067294,0
bloc_shares,cosine,louvain,7,5,0.5,,5,279715.2,1538939.4000000001,5.501808267838144,0.6848022434581105,2314.2374970914925,27.62068298438475,0.7807407799254023,222419929435.81818,-0.27320336238067294,0
bloc_shares,cosine,louvain,10,11,0.51,,11,43837.8,1279940.2,29.19718142790012,1.1229230026811834,1823.037435741885,16.10591294558697,1.122923643314273,207793360202.19913,-0.37614495232171363,0
bloc_shares,cosine,louvain,15,15,0.33,,15,32542.199999999997,1346157.2,41.3665087179109,1.4302643321412718,1460.6532581635026,19.80503236697391,0.9615493478087416,207527561327.48547,-0.5246643483823415,0
bloc_shares,cosine,louvain,20,21,0.56,,21,1571.4,1346157.2,856.6610665648466,1.7985612973409288,1315.023907447624,34.37862859876213,0.9615493478087416,207230482321.25732,-0.645077176713416,0
bloc_shares,cosine,kmeans_baseline,3,3,0.04,,3,524903.0,2074867.4000000006,3.9528587186584963,0.48383982623181754,1250.208515218907,8.746558352471979,2.1235514330507854,29967586853.967365,0.8579989148692911,3
bloc_shares,cosine,kmeans_baseline,5,5,0.05,,5,524903.0,988310.6000000001,1.882844258844015,0.21054995182983985,824.6809107599618,8.807890168768077,1.7907337729774895,8300490434.913137,0.6627334297721994,5
bloc_shares,cosine,kmeans_baseline,7,7,0.05,,7,410132.6,682210.9999999998,1.6633913032029148,0.15671891979943287,510.66430733406145,12.055757394254806,2.1235514330507854,3293262845.169797,0.6554347311835531,7
bloc_shares,cosine,kmeans_baseline,10,10,0.05,,10,219778.39999999997,584234.1999999998,2.6582876206214983,0.27281228963713927,375.16058431522185,11.571792883567957,2.1235514330507854,1480861018.7106352,0.5614700134847073,10
bloc_shares,cosine,kmeans_baseline,15,15,0.06,,15,128552.80000000002,524903.0,4.083170494925042,0.42163813728366223,191.96918111257094,15.181781061092684,1.9788547322617944,477828031.1097914,0.5580168716486682,14
bloc_shares,cosine,kmeans_baseline,20,20,0.06,,20,31728.399999999998,524903.0,16.543632833675826,0.5079028930576929,137.01968717247652,15.79307925243406,2.1235514330507854,222374182.4139592,0.5518880141941928,17
bloc_shares,jensen_shannon,simulated_annealing,3,3,18.74,,3,1250530.4,1386521.2000000002,1.1087464966865261,0.04393605938191503,3118.9721445473583,9.506824662214557,1.0466602644718677,239328973367.79773,-0.030080093978124917,0
bloc_shares,jensen_shannon,simulated_annealing,5,5,16.28,,5,4380.8,1169734.4000000001,267.0138787436085,0.553989802663605,3449.0226248404015,11.140879224658963,0.43383272784763705,198588065513.74722,-0.5243795591090825,0
bloc_shares,jensen_shannon,simulated_annealing,7,7,19.29,,7,4380.8,1235496.4,282.0252921840759,0.6433001042970174,2983.8695578319107,19.987533021611593,1.0376358640581813,197296272616.83145,-0.550759260304193,0
bloc_shares,jensen_shannon,simulated_annealing,10,10,23.52,,10,4380.8,970388.0,221.50931336742147,0.7268203654574336,3101.084585969619,26.263634808467337,0.4568166332793595,180180313760.3282,-0.5705154873409195,0
bloc_shares,jensen_shannon,simulated_annealing,15,15,24.8,,15,4380.8,525867.0,120.03903396639883,0.6177702128247876,2594.826732026261,23.898233427147435,4.027980609922167,147679134964.27997,-0.5751732126804564,0
bloc_shares,jensen_shannon,simulated_annealing,20,20,29.31,,20,4380.8,840166.8,191.78387509130752,0.8884612739249397,2346.694842189531,27.121598388989163,0.20263269060777134,135802366101.5007,-0.6543436941460792,0
bloc_shares,jensen_shannon,agglomerative_average,3,3,0.42,,3,25.6,3923677.200000001,153268.64062500003,1.4139970059051719,1508.1229122205639,6.21781552974181,3.3548387096774164,244788169749.3137,-0.4072899223859048,0
bloc_shares,jensen_shannon,agglomerative_average,5,5,0.42,,5,25.6,3910453.800000001,152752.10156250003,1.9913293989517442,1513.8809410448087,7.082138301979657,2.4047463769622475,244480620271.14435,-0.6638163982367244,0
bloc_shares,jensen_shannon,agglomerative_average,7,7,0.41,,7,25.6,3909802.4000000013,152726.65625000003,2.43910522461411,1514.5944916206636,11.441484274221946,2.4047463769622475,244194249072.63977,-0.6569647443334374,0
bloc_shares,jensen_shannon,agglomerative_average,10,10,0.42,,10,25.6,3907039.200000001,152618.71875000003,2.985540505746217,1522.255455998245,16.88782458955172,2.4047463769622475,243347047710.67346,-0.6559921092675715,0
bloc_shares,jensen_shannon,agglomerative_average,15,15,0.42,,15,25.6,3902418.800000001,152438.23437500003,3.719547572753566,3061.8156316212744,22.305282432428644,2.4047463769622475,242212644932.6652,-0.6539165591061465,0
bloc_shares,jensen_shannon,agglomerative_average,20,20,0.42,,20,25.6,3894224.6000000006,152118.1484375,4.32401250978418,3088.9919971159193,25.089802829807184,2.4047463769622475,240816670793.164,-0.6506042983289392,0
bloc_shares,jensen_shannon,louvain,3,3,0.42,,3,441649.39999999997,2795392.1999999993,6.329437331965128,0.8076958338200608,2093.0923337285335,31.847466166723184,10.679466593897004,222545042655.7295,-0.2021160517152442,0
bloc_shares,jensen_shannon,louvain,5,5,0.47,,5,279715.2,1483746.0,5.304488279507155,0.6808611605043657,2314.74673370252,27.882917127298583,1.880260729315566,223024632229.59497,-0.27251432907888684,0
bloc_shares,jensen_shannon,louvain,7,7,0.46,,7,153881.2,2344028.8000000003,15.232717187024797,1.3052367409101435,1855.6907953336618,25.327971122534418,6.4875439244986595,210744475317.55457,-0.2858219564609079,0
bloc_shares,jensen_shannon,louvain,10,10,0.49,,10,20308.6,1976339.9999999998,97.31542302275882,1.364552943960838,2248.5935541643107,20.78402918628263,1.0094483449603473,204382420026.4977,-0.37364856048579453,0
bloc_shares,jensen_shannon,louvain,15,15,0.54,,15,27889.0,1129739.2000000002,40.50841550432071,1.204312152836218,1531.036123463335,25.45542588858957,1.1131333106117154,210265178883.3563,-0.5309440927032298,0
bloc_shares,jensen_shannon,louvain,20,20,0.55,,20,3089.0,1129739.2000000002,365.72975072839114,1.4377092953421997,1464.1937307022022,37.87117908069418,1.0094483449603473,199254118188.77164,-0.6292119118549966,0
bloc_shares,jensen_shannon,kmeans_baseline,3,3,0.04,,3,524903.0,2074867.4000000006,3.9528587186584963,0.48383982623181754,1250.208515218907,8.746558352471979,2.1235514330507854,29967586853.967365,0.8579989148692911,3
bloc_shares,jensen_shannon,kmeans_baseline,5,5,0.04,,5,524903.0,988310.6000000001,1.882844258844015,0.21054995182983985,824.6809107599618,8.807890168768077,1.7907337729774895,8300490434.913137,0.6627334297721994,5
bloc_shares,jensen_shannon,kmeans_baseline,7,7,0.05,,7,410132.6,682210.9999999998,1.6633913032029148,0.15671891979943287,510.66430733406145,12.055757394254806,2.1235514330507854,3293262845.169797,0.6554347311835531,7
bloc_shares,jensen_shannon,kmeans_baseline,10,10,0.05,,10,219778.39999999997,584234.1999999998,2.6582876206214983,0.27281228963713927,375.16058431522185,11.571792883567957,2.1235514330507854,1480861018.7106352,0.5614700134847073,10
bloc_shares,jensen_shannon,kmeans_baseline,15,15,0.06,,15,128552.80000000002,524903.0,4.083170494925042,0.42163813728366223,191.96918111257094,15.181781061092684,1.9788547322617944,477828031.1097914,0.5580168716486682,14
bloc_shares,jensen_shannon,kmeans_baseline,20,20,0.06,,20,31728.399999999998,524903.0,16.543632833675826,0.5079028930576929,137.01968717247652,15.79307925243406,2.1235514330507854,222374182.4139592,0.5518880141941928,17
raw_party_shares,euclidean,simulated_annealing,3,3,19.27,,3,1136746.4,1421038.5999999999,1.2500928967094156,0.09415551198627421,1.0894083159200914,3.5852699542477104,2.5667626246986295,169926.11442015693,0.11217269920644171,0
raw_party_shares,euclidean,simulated_annealing,5,5,22.78,,5,453276.19999999995,1110876.0,2.4507706338872417,0.34207108356655885,1.0909555993247912,5.9192650546405865,3.046955839802507,191007.11997323728,-0.05933782696715021,0
raw_party_shares,euclidean,simulated_annealing,7,7,26.47,,7,217608.6,939893.5999999997,4.319193267177859,0.4602461473889518,1.216612346357236,7.4430410417016475,0.5033182946368022,234230.16380147164,-0.13963557332849638,0
raw_party_shares,euclidean,simulated_annealing,10,10,32.7,,10,1821.8,930366.9999999998,510.68558568448776,0.757637434221825,1.146847289616791,7.139584720518769,0.24806063395623568,202132.64350605136,-0.207343011222417,0
raw_party_shares,euclidean,simulated_annealing,15,15,37.47,,15,27862.399999999998,621342.5999999999,22.300397668542548,0.7067659922524301,0.9680602252885667,9.760626085046825,1.6198456296597108,171835.39632266707,-0.2894355831585363,0
raw_party_shares,euclidean,simulated_annealing,20,20,42.58,,20,191.0,651913.0,3413.1570680628274,0.9614558652025182,0.8888160557231422,12.188191074602054,0.19242929707572287,131911.96502255736,-0.2990153729335981,0
raw_party_shares,euclidean,agglomerative_average,3,3,0.17,,3,110200.59999999999,3419056.400000001,31.02575122095525,1.1446558573669152,0.6441468573853365,19.306647766798392,3.3895669430883224,107342.47677014064,0.5661632770058126,0
raw_party_shares,euclidean,agglomerative_average,5,5,0.17,,5,1295.4,3416435.400000001,2637.359425660028,1.6865878966181844,0.6322254544940528,21.221866356637626,3.394354887926326,101701.58056724715,0.3796301467107662,0
raw_party_shares,euclidean,agglomerative_average,7,7,0.17,,7,1295.4,3412704.0000000005,2634.478925428439,2.0906528496671406,0.620327794454454,16.611682131191706,1.691978568892221,97268.10347295075,0.3231999576830959,0
raw_party_shares,euclidean,agglomerative_average,10,10,0.18,,10,1295.4,3361270.6000000006,2594.774278215223,2.539214617482828,0.6058951044649281,14.819545483795782,0.3265899410563833,91434.06804775484,0.2513487373709431,0
raw_party_shares,euclidean,agglomerative_average,15,15,0.27,,15,1295.4,3340136.0000000005,2578.4591631928365,3.1675825606736345,0.5865897928368907,14.820204186044407,0.3265899410563833,83367.93405133768,0.08745142900725299,0
raw_party_shares,euclidean,agglomerative_average,20,20,0.16,,20,1295.4,3024269.600000001,2334.622201636561,3.3449616933275967,0.5664510963107676,14.753711001849993,0.3265899410563833,78238.78402938395,-0.1793280522987598,0
raw_party_shares,euclidean,louvain,3,3,0.16,,3,378988.9999999998,2724230.7999999993,7.188152690447482,0.7779097734190825,0.8681131126151103,12.880220177457275,2.927158510412376,127122.47262150975,0.18325889018790884,0
raw_party_shares,euclidean,louvain,5,5,0.21,,5,79924.99999999999,1527627.2,19.113258680012514,0.6874608278554578,0.754001875146142,13.939566868620375,4.762970890801892,116427.38629355853,0.08939720655085037,0
